rankingMenu,rank,movieTitle,visitorScore,netizenScore,genre,nationality,showtimes,director,actors,attendance
평점순(모든영화),01,그린 북,관람객 평점 9.55점,네티즌 평점 95.9점,드라마,미국,130분,피터 패럴리,"비고 모텐슨,마허샬라 알리",누적관객 0명
평점순(현재상영영화),010,화양연화,관람객 평점 9.16점,네티즌 평점 87.7점,"드라마,멜로/로맨스","홍콩,프랑스",99분,왕가위,"장만옥,양조위",누적관객 0명
평점순(현재상영영화),08,중경삼림,관람객 평점 9.27점,네티즌 평점 89.2점,드라마,홍콩,102분,왕가위,"임청하,양조위,왕페이",누적관객 0명
평점순(현재상영영화),07,러브 액츄얼리,관람객 평점 9.24점,네티즌 평점 89.3점,"멜로/로맨스,드라마,코미디","영국,미국",130분,리차드 커티스,"휴 그랜트,리암 니슨,콜린 퍼스",누적관객 0명
평점순(현재상영영화),06,이보다 더 좋을 순 없다,관람객 평점 8.17점,네티즌 평점 89.5점,"코미디,드라마",미국,138분,제임스 L. 브룩스,"잭 니콜슨,헬렌 헌트,그렉 키니어",누적관객 0명
평점순(현재상영영화),05,루카,관람객 평점 9.38점,네티즌 평점 90.6점,"애니메이션,모험,코미디",미국,95분,엔리코 카사로사,"제이콥 트렘블레이,잭 딜런 그레이저,엠마 버만",누적관객 0명
평점순(현재상영영화),09,너의 이름은.,관람객 평점 9.02점,네티즌 평점 87.9점,"애니메이션,드라마,멜로/로맨스",일본,106분,신카이 마코토,"카미키 류노스케,카미시라이시 모네",누적관객 0명
평점순(현재상영영화),01,보스 베이비 2,관람객 평점 9.70점,네티즌 평점 94.0점,"애니메이션,코미디,모험",미국,107분,톰 맥그라스,"알렉 볼드윈,에이미 세다리스","99,412명"
평점순(모든영화),08,당갈,관람객 평점 9.62점,네티즌 평점 94.9점,"드라마,액션",인도,161분,니테쉬 티와리,"아미르 칸,파티마 사나 셰이크,산야 말호트라",누적관객 0명
평점순(모든영화),09,포드 V 페라리,관람객 평점 9.32점,네티즌 평점 94.8점,"액션,드라마",미국,152분,제임스 맨골드,"맷 데이먼,크리스찬 베일",누적관객 0명
평점순(모든영화),010,극장판 바이올렛 에버가든,관람객 평점 9.68점,네티즌 평점 94.8점,"애니메이션,드라마,판타지",일본,140분,이시다테 타이치,"이시카와 유이,나미카와 다이스케",누적관객 0명
평점순(현재상영영화),03,극장판 귀멸의 칼날: 무한열차편,관람객 평점 9.62점,네티즌 평점 92.8점,애니메이션,일본,117분,소토자키 하루오,"하나에 나츠키,키토 아카리",누적관객 0명
조회순,010,꽃다발 같은 사랑을 했다,관람객 평점 8.35점,네티즌 평점 90.3점,멜로/로맨스,일본,123분,도이 노부히로,"아리무라 카스미,스다 마사키,키요하라 카야","26,354명"
조회순,09,오필리아,관람객 평점 7.00점,네티즌 평점 78.8점,"드라마,멜로/로맨스",미국,106분,클레어 맥카시,"데이지 리들리,조지 맥케이,나오미 왓츠",누적관객 0명
조회순,08,아이스 로드,관람객 평점 10.00점,네티즌 평점 77.1점,스릴러,미국,110분,조나단 헨슬레이,"리암 니슨,로렌스 피시번,홀트 맥칼라니","6,582명"
조회순,07,보스 베이비 2,관람객 평점 9.70점,네티즌 평점 94.0점,"애니메이션,코미디,모험",미국,107분,톰 맥그라스,"알렉 볼드윈,에이미 세다리스","99,412명"
조회순,05,스페이스 잼: 새로운 시대,관람객 평점 8.50점,네티즌 평점 78.9점,"애니메이션,모험,코미디",미국,115분,말콤 D. 리,"르브론 제임스,돈 치들,젠데이아 콜먼","16,971명"
조회순,04,발신제한,관람객 평점 7.92점,네티즌 평점 66.2점,"드라마,스릴러",한국,94분,김창주,"조우진,이재인,진경",누적관객 0명
조회순,02,블랙 위도우,관람객 평점 9.10점,네티즌 평점 85.0점,"액션,모험,SF",미국,134분,케이트 쇼트랜드,"스칼릿 조핸슨,플로렌스 퓨,레이첼 와이즈","2,330,682명"
평점순(모든영화),06,먼 훗날 우리,관람객 평점 없음,네티즌 평점 95.2점,"드라마,멜로/로맨스",중국,120분,유약영,"정백연,주동우,톈좡좡",누적관객 0명
평점순(모든영화),05,베일리 어게인,관람객 평점 9.42점,네티즌 평점 95.2점,"모험,코미디,드라마",미국,100분,라세 할스트롬,"조시 게드,데니스 퀘이드,K.J. 아파",누적관객 0명
평점순(모든영화),04,원더,관람객 평점 9.43점,네티즌 평점 95.2점,드라마,미국,113분,스티븐 크보스키,"제이콥 트렘블레이,줄리아 로버츠,오웬 윌슨",누적관객 0명
평점순(모든영화),02,가버나움,관람객 평점 9.54점,네티즌 평점 96.0점,드라마,"레바논,프랑스",126분,나딘 라바키,"자인 알 라피아,요르다노스 시프로우",누적관객 0명
평점순(모든영화),03,디지몬 어드벤처 라스트 에볼루션 : 인연,관람객 평점 없음,네티즌 평점 95.4점,"애니메이션,모험",일본,114분,타구치 토모히사,"하나에 나츠키,호소야 요시마사,사카모토 치카",누적관객 0명
